Waktu (WIB),Nomor WhatsApp,Nama Pelanggan,Status Lead,Kategori Niat,Suhu & Skor,Admin Bertugas,Pesan Masuk,Ringkasan AI,Draf Balasan CS,Tindakan Operasional,Status Follow-Up
"24/9/2026, 14.27.34","6285854560995","Adinda Ayuningtyas","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 13.05.32","6281215826845",".","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"24/9/2026, 12.30.07","6289630824656","Ranindya Nur Rohmah","ENGAGED","","HOT (80)","Admin CS","","","","","COMPLETED"
"24/9/2026, 12.29.11","6285292391533","Lu’Lu Amanatul","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 12.19.42","6285876807130","Lutfii","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 12.00.39","6285771682819","Annisa","ENGAGED","","WARM (65)","Admin CS","","","","","COMPLETED"
"24/9/2026, 11.32.42","6282257980508","Nailah Fithri","ENGAGED","","COLD (30)","Admin CS","","","","","COMPLETED"
"24/9/2026, 11.28.18","6289613574880","Analisa Mela Egrina","QUALIFIED","","HOT (50)","Admin CS","","","","","COMPLETED"
"24/9/2026, 11.27.30","6281270247772","AGR","QUALIFIED","","COLD (30)","Admin CS","","","","","COMPLETED"
"24/9/2026, 10.50.42","6281227447145","Ilma","ENGAGED","","COLD (30)","Admin CS","","","","","COMPLETED"
"24/9/2026, 10.42.15","628152568077","bella","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"24/9/2026, 10.14.50","6285709014543","Vera Desita Amelia","QUALIFIED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 10.14.48","6289604026172","Salsabila Intan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"24/9/2026, 09.51.44","6285716607355","Refa","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 09.26.29","6285728523359","maylizaan","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 08.36.06","6285727215565","Lely","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 08.09.38","6282265250434","shofia","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 07.49.52","6281248522123","Kartika Tania A","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 07.39.08","6282220421960","KabBanyumas_Manis TA_F7","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"24/9/2026, 07.34.28","6289516793689","adinda fahrina","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"24/9/2026, 07.23.05","6285700231673","neta","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 06.55.19","6281282945511","Daniel","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 06.07.25","628121593446","Detri","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"24/9/2026, 05.01.20","6281317430551","jall","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 23.05.10","6281973776111","Tata","ENGAGED","","COLD (10)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.48.24","62895350424200","rrny","QUALIFIED","","HOT (80)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.39","6280023220","Hanan Aldi R","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.39","6280023219","ALFIAN WICAKSANA","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.39","6280023218","Ofi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.39","6280023217","Sulaiman","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.38","6280023216","Mayliza","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.38","6280022213","Elfa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.38","6280021209","Mein","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.37","6280021208","kresna","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.37","6280021207","Amin Nasyith","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.37","6280021206","Rifan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.37","6280020205","Muti","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.36","6280020204","Pandu Eka Wardana","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.36","6280020202","Melody","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.36","6280020201","devita","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.35","6280019200","Akhmad binangun","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.35","6280019199","cipan","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.35","6280019198","aulia","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.34","6280019197","princes","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.34","6280019196","Celestia","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.34","6280018195","Vivi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.33","6280018193","Naura","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.33","6280018192","Difa Ruci","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.33","6280018191","Dwi","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.32","6280018190","Afita Khoerunnisa","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
"23/9/2026, 21.25.32","6280018189","MIK UMP","BOOKING","","HOT (100)","Admin CS","","","","","COMPLETED"
